                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3128,                  3.598,                  1.569,                0.57551,                0.68917,                0.61969,                0.39116,                 1.2709,                 1.7002,                 1.5792,             0.00020531,             0.00020531,             0.00020531
                      2,                 1.2049,                 1.6471,                 1.4463,                0.79873,                0.54991,                0.69417,                0.44615,                 1.2311,                 1.3902,                 1.6336,             0.00040455,             0.00040455,             0.00040455
                      3,                  1.208,                 1.4438,                 1.4622,                0.54097,                0.60764,                0.56305,                0.35863,                 1.2739,                 1.7494,                 1.6224,             0.00059461,             0.00059461,             0.00059461
                      4,                 1.2269,                 1.3575,                 1.4615,                0.64325,                0.55578,                 0.6294,                0.38438,                 1.2851,                 1.3118,                  1.616,             0.00058375,             0.00058375,             0.00058375
                      5,                 1.1847,                 1.2484,                 1.4479,                0.73758,                0.69208,                0.76606,                0.49262,                 1.2696,                 1.2413,                 1.6442,             0.00058375,             0.00058375,             0.00058375
                      6,                 1.1982,                 1.2026,                 1.4549,                0.85237,                 0.7798,                0.86805,                0.56285,                 1.1879,                 1.0264,                 1.5508,                0.00057,                0.00057,                0.00057
                      7,                 1.1365,                 1.1397,                 1.4064,                0.86646,                0.75603,                0.85833,                0.54968,                 1.2308,                 1.0864,                 1.5773,             0.00055625,             0.00055625,             0.00055625
                      8,                  1.142,                 1.0842,                 1.4054,                0.76048,                0.81556,                0.87429,                 0.5813,                 1.1627,                0.93673,                 1.5269,              0.0005425,              0.0005425,              0.0005425
                      9,                  1.104,                 1.0226,                 1.3661,                0.87518,                0.80639,                0.88552,                0.57626,                 1.2075,                0.85811,                 1.5407,             0.00052875,             0.00052875,             0.00052875
                     10,                 1.0539,                0.95565,                  1.335,                0.84128,                0.86872,                0.90346,                0.62443,                 1.0788,                0.79272,                 1.4613,               0.000515,               0.000515,               0.000515
                     11,                 1.0716,                 0.9633,                 1.3499,                0.81245,                0.87432,                 0.8915,                0.60706,                  1.148,                0.81677,                 1.4697,             0.00050125,             0.00050125,             0.00050125
